,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
598,標,木,15,4,signpost,"ヒョウ
hyō"
599,不,一,4,4,non-,"フ、ブ
fu, bu"
600,夫,大,4,4,husband,"フ、（フウ）、おっと
fu, (fū), otto"
601,付,人,5,4,attach,"フ、つ-ける、つ-く
fu, tsu-keru, tsu-ku"
602,府,广,8,4,urban prefecture,"フ
fu"
603,副,刀,11,4,vice,"フク
fuku"
604,粉,米,10,4,flour,"フン、こ、こな
fun, ko, kona"
605,兵,八,7,4,soldier,"ヘイ、ヒョウ
hei, hyō"
606,別,刀,7,4,separate,"ベツ、わか-れる
betsu, waka-reru"
607,辺,辵,5,4,environs,"ヘン、あた-り、べ
hen, ata-ri, be"
608,変,言,9,4,change,"ヘン、か-わる、か-える
hen, ka-waru, ka-eru"
609,便,人,9,4,convenience,"ベン、ビン、たよ-り
ben, bin, tayo-ri"
610,包,勹,5,4,wrap,"ホウ、つつ-む
hō, tsutsu-mu"
611,法,水,8,4,method,"ホウ、（ハッ）、（ホッ）
hō, (ha'), (ho')"
612,望,月,11,4,hope,"ボウ、モウ、のぞ-む
bō, mō, nozo-mu"
613,牧,牛,8,4,breed,"ボク、まき
boku, maki"
614,末,木,5,4,end,"マツ、バツ、すえ
matsu, batsu, sue"
615,満,水,12,4,full,"マン、み-ちる、み-たす
man, mi-chiru, mi-tasu"
616,未,木,5,4,not yet,"ミ
mi"
617,脈,肉,10,4,vein,"ミャク
myaku"
618,民,氏,5,4,people,"ミン、たみ
min, tami"
619,無,火,12,4,nothing,"ム、ブ、な-い
mu, bu, na-i"
620,約,糸,9,4,promise,"ヤク
yaku"
621,勇,力,9,4,courage,"ユウ、いさ-む
yū, isa-mu"
622,要,襾,9,4,need,"ヨウ、かなめ、い-る
yō, kaname, i-ru"
623,養,食,15,4,foster,"ヨウ、やしな-う
yō, yashina-u"
624,浴,水,10,4,bathe,"ヨク、あ-びる、あ-びせる
yoku, a-biru, a-biseru"
625,利,刀,7,4,profit,"リ、き-く
ri, ki-ku"
626,陸,阜,11,4,land,"リク
riku"
627,良,艮,7,4,good,"リョウ、よ-い
ryō, yo-i"
628,料,斗,10,4,fee,"リョウ
ryō"
629,量,里,12,4,quantity,"リョウ、はか-る
ryō, haka-ru"
630,輪,車,15,4,wheel,"リン、わ
rin, wa"
631,類,頁,18,4,sort,"ルイ、たぐ-い
rui, tagu-i"
632,令,人,5,4,orders,"レイ
rei"
633,冷,冫,7,4,cool,"レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
rei, tsume-tai, hi-eru, hi-ya, hi-yasu, hi-yakasu, sa-meru, sa-masu"
634,例,人,8,4,example,"レイ、たと-える
rei, tato-eru"
635,歴,止,14,4,curriculum,"レキ
reki"
636,連,辵,10,4,take along,"レン、つら-なる、つら-ねる、つ-れる
ren, tsura-naru, tsura-neru, tsu-reru"
637,老,老,6,4,old man,"ロウ、お-いる、ふ-ける
rō, o-iru, fu-keru"
638,労,力,7,4,labour,"ロウ
rō"
639,録,金,16,4,record,"ロク
roku"
640,圧,土,5,5,pressure,"アツ
atsu"
641,移,禾,11,5,shift,"イ、うつ-る、うつ-す
i, utsu-ru, utsu-su"
642,因,囗,6,5,cause,"イン、よ-る
in, yo-ru"
643,永,水,5,5,eternity,"エイ、なが-い
ei, naga-i"
644,営,火,12,5,manage,"エイ、いとな-む
ei, itona-mu"
645,衛,行,16,5,defense,"エイ
ei"
646,易,日,8,5,easy,"エキ、イ、やさ-しい
eki, i, yasa-shii"
647,益,皿,10,5,benefit,"エキ、（ヤク）
eki, (yaku)"
648,液,水,11,5,fluid,"エキ
eki"
649,演,水,14,5,perform,"エン
en"
650,応,心,7,5,respond,"オウ、こた-える
ō, kota-eru"
651,往,彳,8,5,outward journey,"オウ
ō"
652,桜,木,10,5,cherry tree,"オウ、さくら
ō, sakura"
653,恩,心,10,5,grace,"オン
on"
654,可,口,5,5,possible,"カ
ka"
655,仮,人,6,5,temporary,"カ、（ケ）、かり
ka, (ke), kari"
656,価,人,8,5,value,"カ、あたい
ka, atai"
657,河,水,8,5,river,"カ、かわ
ka, kawa"
658,過,辵,12,5,go beyond,"カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
ka, su-giru, su-gosu, ayama-tsu, ayama-chi"
659,賀,貝,12,5,congratulations,"ガ
ga"
660,快,心,7,5,cheerful,"カイ、こころよ-い
kai, kokoroyo-i"
661,解,角,13,5,untie,"カイ、ゲ、と-く、と-かす、と-ける
kai, ge, to-ku, to-kasu, to-keru"
662,格,木,10,5,status,"カク、（コウ）
kaku, (kō)"
663,確,石,15,5,certain,"カク、たし-か、たし-かめる
kaku, tashi-ka, tashi-kameru"
664,額,頁,18,5,amount,"ガク、ひたい
gaku, hitai"
665,刊,刀,5,5,publish,"カン
kan"
666,幹,干,13,5,tree-trunk,"カン、みき
kan, miki"
667,慣,心,14,5,accustomed,"カン、な-れる、な-らす
kan, na-reru, na-rasu"
668,眼,目,11,5,eyeball,"ガン、（ゲン）、まなこ
gan, (gen), manako"
669,基,土,11,5,foundation,"キ、もと、もとい
ki, moto, motoi"
670,寄,宀,11,5,approach,"キ、よ-る、よ-せる
ki, yo-ru, yo-seru"
671,規,見,11,5,rule,"キ
ki"
672,技,手,7,5,skill,"ギ、わざ
gi, waza"
673,義,羊,13,5,righteousness,"ギ
gi"
674,逆,辵,9,5,inverted,"ギャク、さか、さか-らう
gyaku, saka, saka-rau"
675,久,丿,3,5,long time,"キュウ、（ク）、ひさ-しい
kyū, (ku), hisa-shii"
676,旧,臼,5,5,old times,"キュウ
kyū"
677,居,尸,8,5,reside,"キョ、い-る
kyo, i-ru"
678,許,言,11,5,permit,"キョ、ゆる-す
kyo, yuru-su"
679,境,土,14,5,boundary,"キョウ、（ケイ）、さかい
kyō, (kei), sakai"
680,均,土,7,5,level,"キン
kin"
681,禁,示,13,5,prohibition,"キン
kin"
682,句,口,5,5,phrase,"ク
ku"
683,群,羊,13,5,flock,"グン、む-れる、む-れ、（むら）
gun, mu-reru, mu-re, (mura)"
684,経,糸,11,5,manage,"ケイ、キョウ、へ-る
kei, kyō, he-ru"
685,潔,水,15,5,undefiled,"ケツ、いさぎよ-い
ketsu, isagiyo-i"
686,件,人,6,5,affair,"ケン
ken"
687,券,刀,8,5,ticket,"ケン
ken"
688,険,阜,11,5,precipitous,"ケン、けわ-しい
ken, kewa-shii"
689,検,木,12,5,examine,"ケン
ken"
690,限,阜,9,5,limit,"ゲン、かぎ-る
gen, kagi-ru"
691,現,玉,11,5,appear,"ゲン、あらわ-れる、あらわ-す
gen, arawa-reru, arawa-su"
692,減,水,12,5,decrease,"ゲン、へ-る、へ-らす
gen, he-ru, he-rasu"
693,故,攴,9,5,circumstances,"コ、ゆえ
ko, yue"
694,個,人,10,5,individual,"コ
ko"
695,護,言,20,5,safeguard,"ゴ
go"
696,効,力,8,5,effect,"コウ、き-く
kō, ki-ku"
697,厚,厂,9,5,thick,"コウ、あつ-い
kō, atsu-i"
698,耕,耒,10,5,till,"コウ、たがや-す
kō, tagaya-su"
699,鉱,金,13,5,mineral,"コウ
kō"
700,構,木,14,5,construct,"コウ、かま-える、かま-う
kō, kama-eru, kama-u"
701,興,臼,16,5,entertain,"コウ、キョウ、おこ-る、おこ-す
kō, kyō, oko-ru, oko-su"
702,講,言,17,5,lecture,"コウ
kō"
703,混,水,11,5,mix,"コン、ま-じる、ま-ざる、ま-ぜる、こ-む
kon, ma-jiru, ma-zaru, ma-zeru, ko-mu"
704,査,木,9,5,investigate,"サ
sa"
705,再,冂,6,5,again,"サイ、（サ）、ふたた-び
sai, (sa), futata-bi"
706,災,火,7,5,disaster,"サイ、わざわ-い
sai, wazawa-i"
707,妻,女,8,5,wife,"サイ、つま
sai, tsuma"
708,採,手,11,5,pick,"サイ、と-る
sai, to-ru"
709,際,阜,14,5,occasion,"サイ、きわ
sai, kiwa"
710,在,土,6,5,exist,"ザイ、あ-る
zai, a-ru"
711,財,貝,10,5,wealth,"ザイ、（サイ）
zai, (sai)"
712,罪,网,13,5,guilt,"ザイ、つみ
zai, tsumi"
713,雑,隹,14,5,miscellaneous,"ザツ、ゾウ
zatsu, zō"
714,酸,酉,14,5,acid,"サン、す-い
san, su-i"
715,賛,貝,15,5,approve,"サン
san"
716,支,支,4,5,branch,"シ、ささ-える
shi, sasa-eru"
717,志,心,7,5,intention,"シ、こころざ-す、こころざし
shi, kokoroza-su, kokorozashi"
718,枝,木,8,5,branch,"シ、えだ
shi, eda"
719,師,巾,10,5,expert,"シ
shi"
720,資,貝,13,5,resources,"シ
shi"
721,飼,食,13,5,domesticate,"シ、か-う
shi, ka-u"
722,示,示,5,5,indicate,"ジ、シ、しめ-す
ji, shi, shime-su"
723,似,人,7,5,becoming,"ジ、に-る
ji, ni-ru"
724,識,言,19,5,discriminating,"シキ
shiki"
725,質,貝,15,5,quality,"シツ、シチ、（チ）
shitsu, shichi, (chi)"
726,舎,舌,8,5,cottage,"シャ
sha"
727,謝,言,17,5,apologize,"シャ、あやま-る
sha, ayama-ru"
728,授,手,11,5,instruct,"ジュ、さず-ける、さず-かる
ju, sazu-keru, sazu-karu"
729,修,人,10,5,discipline,"シュウ、（シュ）、おさ-める、おさ-まる
shū, (shu), osa-meru, osa-maru"
730,述,辵,8,5,mention,"ジュツ、の-べる
jutsu, no-beru"
731,術,行,11,5,art,"ジュツ
jutsu"
732,準,水,13,5,standard,"ジュン
jun"
733,序,广,7,5,preface,"ジョ
jo"
734,招,手,8,5,beckon,"ショウ、まね-く
shō, mane-ku"
735,承,手,8,5,acquiesce,"ショウ、うけたまわ-る
shō, uketamawa-ru"
736,証,言,12,5,evidence,"ショウ
shō"
737,条,木,7,5,clause,"ジョウ
jō"
738,状,犬,7,5,form,"ジョウ
jō"
739,常,巾,11,5,normal,"ジョウ、つね、とこ
jō, tsune, toko"
740,情,心,11,5,feelings,"ジョウ、（セイ）、なさ-け
jō, (sei), nasa-ke"
741,織,糸,18,5,weave,"ショク、シキ、お-る
shoku, shiki, o-ru"
742,職,耳,18,5,employment,"ショク
shoku"
743,制,刀,8,5,control,"セイ
sei"
744,性,心,8,5,gender,"セイ、ショウ
sei, shō"
745,政,攴,9,5,politics,"セイ、（ショウ）、まつりごと
sei, (shō), matsurigoto"
746,勢,力,13,5,power,"セイ、いきお-い
sei, ikio-i"
747,精,米,14,5,refined,"セイ、（ショウ）
sei, (shō)"
748,製,衣,14,5,manufacture,"セイ
sei"
749,税,禾,12,5,tax,"ゼイ
zei"
750,責,貝,11,5,blame,"セキ、せ-める
seki, se-meru"
751,績,糸,17,5,exploits,"セキ
seki"
752,接,手,11,5,contact,"セツ、つ-ぐ
setsu, tsu-gu"
753,設,言,11,5,establish,"セツ、もう-ける
setsu, mō-keru"
754,舌,舌,6,5,tongue,"ゼツ、した
zetsu, shita"
755,絶,糸,12,5,discontinue,"ゼツ、た-える、た-やす、た-つ
zetsu, ta-eru, ta-yasu, ta-tsu"
756,銭,金,14,5,coin,"セン、ぜに
sen, zeni"
757,祖,示,9,5,ancestor,"ソ
so"
758,素,糸,10,5,elementary,"ソ、ス
so, su"
759,総,糸,14,5,whole,"ソウ
sō"
760,造,辵,10,5,create,"ゾウ、つく-る
zō, tsuku-ru"
761,像,人,14,5,statue,"ゾウ
zō"
762,増,土,14,5,increase,"ゾウ、ま-す、ふ-える、ふ-やす
zō, ma-su, fu-eru, fu-yasu"
763,則,刀,9,5,rule,"ソク
soku"
764,測,水,12,5,fathom,"ソク、はか-る
soku, haka-ru"
765,属,尸,12,5,belong,"ゾク
zoku"
766,率,玄,11,5,rate,"ソツ、リツ、ひき-いる
sotsu, ritsu, hiki-iru"
767,損,手,13,5,loss,"ソン、そこ-なう、そこ-ねる
son, soko-nau, soko-neru"
768,退,辵,9,5,retreat,"タイ、しりぞ-く、しりぞ-ける
tai, shirizo-ku, shirizo-keru"
769,貸,貝,12,5,lend,"タイ、か-す
tai, ka-su"
770,態,心,14,5,condition,"タイ
tai"
771,団,囗,6,5,group,"ダン、（トン）
dan, (ton)"
772,断,斤,11,5,cut off,"ダン、た-つ、ことわ-る
dan, ta-tsu, kotowa-ru"
773,築,竹,16,5,fabricate,"チク、きず-く
chiku, kizu-ku"
774,張,弓,11,5,stretch,"チョウ、は-る
chō, ha-ru"
775,提,手,12,5,present,"テイ、さ-げる
tei, sa-geru"
776,程,禾,12,5,extent,"テイ、ほど
tei, hodo"
777,適,辵,14,5,suitable,"テキ
teki"
778,敵,攴,15,5,enemy,"テキ、かたき
teki, kataki"
779,統,糸,12,5,unite,"トウ、す-べる
tō, su-beru"
780,銅,金,14,5,copper,"ドウ
dō"
781,導,寸,15,5,guide,"ドウ、みちび-く
dō, michibi-ku"
782,徳,彳,14,5,benevolence,"トク
toku"
783,独,犬,9,5,alone,"ドク、ひと-り
doku, hito-ri"
784,任,人,6,5,responsibility,"ニン、まか-せる、まか-す
nin, maka-seru, maka-su"
785,燃,火,16,5,burn,"ネン、も-える、も-やす、も-す
nen, mo-eru, mo-yasu, mo-su"
786,能,肉,10,5,ability,"ノウ
nō"
787,破,石,10,5,rend,"ハ、やぶ-る、やぶ-れる
ha, yabu-ru, yabu-reru"
788,犯,犬,5,5,crime,"ハン、おか-す
han, oka-su"
789,判,刀,7,5,judge,"ハン、バン
han, ban"
790,版,片,8,5,printing block,"ハン
han"
791,比,比,4,5,compare,"ヒ、くら-べる
hi, kura-beru"
792,肥,肉,8,5,fertilizer,"ヒ、こ-える、こえ、こ-やす、こ-やし
hi, ko-eru, koe, ko-yasu, ko-yashi"
793,非,非,8,5,negative,"ヒ
hi"
794,備,人,12,5,provide,"ビ、そな-える、そな-わる
bi, sona-eru, sona-waru"
795,俵,人,10,5,bag,"ヒョウ、たわら
hyō, tawara"
796,評,言,12,5,evaluate,"ヒョウ
hyō"
797,貧,貝,11,5,poor,"ヒン、ビン、まず-しい
hin, bin, mazu-shii"
798,布,巾,5,5,linen,"フ、ぬの
fu, nuno"
799,婦,女,11,5,lady,"フ
fu"
800,富,宀,12,5,rich,"フ、（フウ）、と-む、とみ
fu, (fū), to-mu, tomi"
801,武,止,8,5,military,"ブ、ム
bu, mu"
802,復,彳,12,5,again,"フク
fuku"
803,複,衣,14,5,duplicate,"フク
fuku"
804,仏,人,4,5,Buddha,"ブツ、ほとけ
butsu, hotoke"
805,編,糸,15,5,compile,"ヘン、あ-む
hen, a-mu"
806,弁,"辛
瓜
辛",5,5,valve,"ベン
ben"
807,保,人,9,5,preserve,"ホ、たも-つ
ho, tamo-tsu"
808,墓,土,13,5,grave,"ボ、はか
bo, haka"
809,報,土,12,5,report,"ホウ、むく-いる
hō, muku-iru"
810,豊,豆,13,5,bountiful,"ホウ、ゆた-か
hō, yuta-ka"
811,防,阜,7,5,prevent,"ボウ、ふせ-ぐ
bō, fuse-gu"
812,貿,貝,12,5,trade,"ボウ
bō"
813,暴,日,15,5,outburst,"ボウ、（バク）、あば-く、あば-れる
bō, (baku), aba-ku, aba-reru"
814,務,力,11,5,duty,"ム、つと-める、つと-まる
mu, tsuto-meru, tsuto-maru"
815,夢,夕,13,5,dream,"ム、ゆめ
mu, yume"
816,迷,辵,9,5,astray,"メイ、まよ-う
mei, mayo-u"
817,綿,糸,14,5,cotton,"メン、わた
men, wata"
818,輸,車,16,5,transport,"ユ
yu"
819,余,食,7,5,leave over,"ヨ、あま-る、あま-す
yo, ama-ru, ama-su"
820,預,頁,13,5,deposit,"ヨ、あず-ける、あず-かる
yo, azu-keru, azu-karu"
821,容,宀,10,5,contain,"ヨウ
yō"
822,略,田,11,5,abbreviation,"リャク
ryaku"
823,留,田,10,5,detain,"リュウ、（ル）、と-める、と-まる
ryū, (ru), to-meru, to-maru"
824,領,頁,14,5,territory,"リョウ
ryō"
825,異,田,11,6,uncommon,"イ、こと
i, koto"
826,遺,辵,15,6,bequeath,"イ、（ユイ）
i, (yui)"
827,域,土,11,6,range,"イキ
iki"
828,宇,宀,6,6,eaves,"ウ
u"
829,映,日,9,6,reflect,"エイ、うつ-る、うつ-す、は-える
ei, utsu-ru, utsu-su, ha-eru"
830,延,廴,8,6,prolong,"エン、の-びる、の-べる、の-ばす
en, no-biru, no-beru, no-basu"
831,沿,水,8,6,run alongside,"エン、そ-う
en, so-u"
832,我,戈,7,6,ego,"ガ、われ、わ
ga, ware, wa"
833,灰,火,6,6,ashes,"カイ、はい
kai, hai"
834,拡,手,8,6,broaden,"カク
kaku"
835,革,革,9,6,leather,"カク、かわ
kaku, kawa"
836,閣,門,14,6,tall,"カク
kaku"
837,割,刀,12,6,divide,"カツ、わ-る、わり、わ-れる、さ-く
katsu, wa-ru, wari, wa-reru, sa-ku"
838,株,木,10,6,stocks,"かぶ
kabu"
839,干,干,3,6,dry,"カン、ほ-す、ひ-る
kan, ho-su, hi-ru"
840,巻,卩,9,6,scroll,"カン、ま-く、まき
kan, ma-ku, maki"
841,看,目,9,6,watch over,"カン
kan"
842,簡,竹,18,6,simplicity,"カン
kan"
843,危,卩,6,6,dangerous,"キ、あぶ-ない、あや-うい、あや-ぶむ
ki, abu-nai, aya-ui, aya-bumu"
844,机,木,6,6,desk,"キ、つくえ
ki, tsukue"
845,揮,手,12,6,brandish,"キ
ki"
846,貴,貝,12,6,precious,"キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
ki, tatto-i, tōto-i, tatto-bu, tōto-bu"
847,疑,疋,14,6,doubt,"ギ、うたが-う
gi, utaga-u"
848,吸,口,6,6,suck,"キュウ、す-う
kyū, su-u"
849,供,人,8,6,offer,"キョウ、（ク）、そな-える、とも
kyō, (ku), sona-eru, tomo"
850,胸,肉,10,6,bosom,"キョウ、むね、（むな）
kyō, mune, (muna)"
851,郷,邑,11,6,home town,"キョウ、ゴウ
kyō, gō"
852,勤,力,12,6,diligence,"キン、（ゴン）、つと-める、つと-まる
kin, (gon), tsuto-meru, tsuto-maru"
853,筋,竹,12,6,muscle,"キン、すじ
kin, suji"
854,系,糸,7,6,lineage,"ケイ
kei"
855,敬,攴,12,6,respect,"ケイ、うやま-う
kei, uyama-u"
856,警,言,19,6,guard against,"ケイ
kei"
857,劇,刀,15,6,drama,"ゲキ
geki"
858,激,水,16,6,violent,"ゲキ、はげ-しい
geki, hage-shii"
859,穴,穴,5,6,hole,"ケツ、あな
ketsu, ana"
860,絹,糸,13,6,silk,"ケン、きぬ
ken, kinu"
861,権,木,15,6,rights,"ケン、（ゴン）
ken, (gon)"
862,憲,心,16,6,constitution,"ケン
ken"
863,源,水,13,6,origin,"ゲン、みなもと
gen, minamoto"
864,厳,口,17,6,strict,"ゲン、（ゴン）、おごそ-か、きび-しい
gen, (gon), ogoso-ka, kibi-shii"
865,己,己,3,6,self,"コ、キ、おのれ
ko, ki, onore"
866,呼,口,8,6,call,"コ、よ-ぶ
ko, yo-bu"
867,誤,言,14,6,mistake,"ゴ、あやま-る
go, ayama-ru"
868,后,口,6,6,empress,"コウ
kō"
869,孝,子,7,6,filial piety,"コウ
kō"
870,皇,白,9,6,emperor,"コウ、オウ
kō, ō"
871,紅,糸,9,6,deep red,"コウ、（ク）、べに、くれない
kō, (ku), beni, kurenai"
872,降,阜,10,6,descend,"コウ、お-りる、お-ろす、ふ-る
kō, o-riru, o-rosu, fu-ru"
873,鋼,金,16,6,steel,"コウ、はがね
kō, hagane"
874,刻,刀,8,6,engrave,"コク、きざ-む
koku, kiza-mu"
875,穀,禾,14,6,cereals,"コク
koku"
876,骨,骨,10,6,bone,"コツ、ほね
kotsu, hone"
877,困,囗,7,6,become distressed,"コン、こま-る
kon, koma-ru"
878,砂,石,9,6,sand,"サ、シャ、すな
sa, sha, suna"
879,座,广,10,6,sit,"ザ、すわ-る
za, suwa-ru"
880,済,水,11,6,settle,"サイ、す-む、す-ます
sai, su-mu, su-masu"
881,裁,衣,12,6,judge,"サイ、た-つ、さば-く
sai, ta-tsu, saba-ku"
882,策,竹,12,6,scheme,"サク
saku"
883,冊,冂,5,6,counter for books,"サツ、サク
satsu, saku"
884,蚕,虫,10,6,silkworm,"サン、かいこ
san, kaiko"
885,至,至,6,6,climax,"シ、いた-る
shi, ita-ru"
886,私,禾,7,6,me,"シ、わたくし、わたし
shi, watakushi, watashi"
887,姿,女,9,6,figure,"シ、すがた
shi, sugata"
888,視,見,11,6,look at,"シ
shi"
889,詞,言,12,6,poetry,"シ
shi"
890,誌,言,14,6,document,"シ
shi"
891,磁,石,14,6,magnet,"ジ
ji"
892,射,寸,10,6,shoot,"シャ、い-る
sha, i-ru"
893,捨,手,11,6,throw away,"シャ、す-てる
sha, su-teru"
894,尺,尸,4,6,shaku,"シャク
shaku"
895,若,艸,8,6,young,"ジャク、（ニャク）、わか-い、も-しくは
jaku, (nyaku), waka-i, mo-shikuha"
896,樹,木,16,6,trees,"ジュ
ju"
897,収,攴,4,6,take in,"シュウ、おさ-める、おさ-まる
shū, osa-meru, osa-maru"
898,宗,宀,8,6,religion,"シュウ、ソウ
shū, sō"
899,就,尢,12,6,concerning,"シュウ、（ジュ）、つ-く、つ-ける
shū, (ju), tsu-ku, tsu-keru"
900,衆,血,12,6,masses,"シュウ、（シュ）
shū, (shu)"
901,従,彳,10,6,obey,"ジュウ、（ショウ）、（ジュ）、したが-う、したが-える
jū, (shō), (ju), shitaga-u, shitaga-eru"
902,縦,糸,16,6,vertical,"ジュウ、たて
jū, tate"
903,縮,糸,17,6,shrink,"シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす
shuku, chiji-mu, chiji-maru, chiji-meru, chiji-reru, chiji-rasu"
904,熟,火,15,6,ripen,"ジュク、う-れる
juku, u-reru"
905,純,糸,10,6,genuine,"ジュン
jun"
906,処,虍,5,6,dispose,"ショ
sho"
907,署,网,13,6,government office,"ショ
sho"
908,諸,言,15,6,various,"ショ
sho"
909,除,阜,10,6,exclude,"ジョ、（ジ）、のぞ-く
jo, (ji), nozo-ku"
910,将,寸,10,6,leader,"ショウ
shō"
911,傷,人,13,6,wound,"ショウ、きず、いた-む、いた-める
shō, kizu, ita-mu, ita-meru"
912,障,阜,14,6,hurt,"ショウ、さわ-る
shō, sawa-ru"
913,城,土,9,6,castle,"ジョウ、しろ
jō, shiro"
914,蒸,艸,13,6,steam,"ジョウ、む-す、む-れる、む-らす
jō, mu-su, mu-reru, mu-rasu"
915,針,金,10,6,needle,"シン、はり
shin, hari"
916,仁,人,4,6,humanity,"ジン、（ニ）
jin, (ni)"
917,垂,土,8,6,droop,"スイ、た-れる、た-らす
sui, ta-reru, ta-rasu"
918,推,手,11,6,infer,"スイ、お-す
sui, o-su"
919,寸,寸,3,6,measurement,"スン
sun"
920,盛,皿,11,6,prosper,"セイ、（ジョウ）、も-る、さか-る、さか-ん
sei, (jō), mo-ru, saka-ru, saka-n"
921,聖,耳,13,6,holy,"セイ
sei"
922,誠,言,13,6,sincerity,"セイ、まこと
sei, makoto"
923,宣,宀,9,6,proclaim,"セン
sen"
924,専,寸,9,6,specialty,"セン、もっぱ-ら
sen, moppa-ra"
925,泉,水,9,6,spring,"セン、いずみ
sen, izumi"
926,洗,水,9,6,wash,"セン、あら-う
sen, ara-u"
927,染,木,9,6,dye,"セン、そ-める、そ-まる、し-みる、し-み
sen, so-meru, so-maru, shi-miru, shi-mi"
928,善,口,12,6,good,"ゼン、よ-い
zen, yo-i"
929,奏,大,9,6,play music,"ソウ、かな-でる
sō, kana-deru"
930,窓,穴,11,6,window,"ソウ、まど
sō, mado"
931,創,刀,12,6,create,"ソウ、つく-る
sō, tsuku-ru"
932,装,衣,12,6,attire,"ソウ、ショウ、よそお-う
sō, shō, yosoo-u"
933,層,尸,14,6,stratum,"ソウ
sō"
934,操,手,16,6,maneuver,"ソウ、みさお、あやつ-る
sō, misao, ayatsu-ru"
935,蔵,艸,15,6,warehouse,"ゾウ、くら
zō, kura"
936,臓,肉,19,6,entrails,"ゾウ
zō"
937,存,子,6,6,suppose,"ソン、ゾン
son, zon"
938,尊,寸,12,6,revered,"ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
son, tatto-i, tōto-i, tatto-bu, tōto-bu"
939,宅,宀,6,6,home,"タク
taku"
940,担,手,8,6,shouldering,"タン、かつ-ぐ、にな-う
tan, katsu-gu, nina-u"
941,探,手,11,6,grope,"タン、さぐ-る、さが-す
tan, sagu-ru, saga-su"
942,誕,言,15,6,nativity,"タン
tan"
943,段,殳,9,6,steps,"ダン
dan"
944,暖,日,13,6,warmth,"ダン、あたた-か、あたた-かい、あたた-まる、あたた-める
dan, atata-ka, atata-kai, atata-maru, atata-meru"
945,値,人,10,6,value,"チ、ね、あたい
chi, ne, atai"
946,宙,宀,8,6,mid-air,"チュウ
chū"
947,忠,心,8,6,loyalty,"チュウ
chū"
948,著,艸,11,6,renowned,"チョ、あらわ-す、いちじる-しい
cho, arawa-su, ichijiru-shii"
949,庁,广,5,6,government office,"チョウ
chō"
950,頂,頁,11,6,place on the head,"チョウ、いただ-く、いただき
chō, itada-ku, itadaki"
951,潮,水,15,6,tide,"チョウ、しお
chō, shio"
952,賃,貝,13,6,fare,"チン
chin"
953,痛,疒,12,6,pain,"ツウ、いた-い、いた-む、いた-める
tsū, ita-i, ita-mu, ita-meru"
954,展,尸,10,6,expand,"テン
ten"
955,討,言,10,6,chastise,"トウ、う-つ
tō, u-tsu"
956,党,黑,10,6,group,"トウ
tō"
957,糖,米,16,6,sugar,"トウ
tō"
958,届,尸,8,6,deliver,"とど-ける、とど-く
todo-keru, todo-ku"
959,難,隹,18,6,difficult,"ナン、かた-い、むずか-しい
nan, kata-i, muzuka-shii"
960,乳,乙,8,6,milk,"ニュウ、ちち、ち
nyū, chichi, chi"
961,認,言,14,6,recognize,"ニン、みと-める
nin, mito-meru"
962,納,糸,10,6,settlement,"ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる
nō, (na'), (na), (nan), (tō), osa-meru, osa-maru"
963,脳,肉,11,6,brain,"ノウ
nō"
964,派,水,9,6,sect,"ハ
ha"
965,拝,手,8,6,worship,"ハイ、おが-む
hai, oga-mu"
966,背,肉,9,6,back,"ハイ、せ、せい、そむ-く、そむ-ける
hai, se, sei, somu-ku, somu-keru"
967,肺,肉,9,6,lungs,"ハイ
hai"
968,俳,人,10,6,haiku,"ハイ
hai"
969,班,玉,10,6,squad,"ハン
han"
970,晩,日,12,6,nightfall,"バン
ban"
971,否,口,7,6,negate,"ヒ、いな
hi, ina"
972,批,手,7,6,criticism,"ヒ
hi"
973,秘,示,10,6,secret,"ヒ、ひ-める
hi, hi-meru"
974,腹,肉,13,6,abdomen,"フク、はら
fuku, hara"
975,奮,大,16,6,stirred up,"フン、ふる-う
fun, furu-u"
976,並,立,8,6,line-up,"ヘイ、なみ、なら-べる、なら-ぶ、なら-びに
hei, nami, nara-beru, nara-bu, nara-bini"
977,陛,阜,10,6,highness,"ヘイ
hei"
978,閉,門,11,6,closed,"ヘイ、と-じる、と-ざす、し-める、し-まる
hei, to-jiru, to-zasu, shi-meru, shi-maru"
979,片,片,4,6,one-sided,"ヘン、かた
hen, kata"
980,補,衣,12,6,supplement,"ホ、おぎな-う
ho, ogina-u"
981,暮,日,14,6,livelihood,"ボ、く-れる、く-らす
bo, ku-reru, ku-rasu"
982,宝,宀,8,6,treasure,"ホウ、たから
hō, takara"
983,訪,言,11,6,visit,"ホウ、おとず-れる、たず-ねる
hō, otozu-reru, tazu-neru"
984,亡,亠,3,6,deceased,"ボウ、（モウ）、な-い
bō, (mō), na-i"
985,忘,心,7,6,forget,"ボウ、わす-れる
bō, wasu-reru"
986,棒,木,12,6,rod,"ボウ
bō"
987,枚,木,8,6,sheet of...,"マイ
mai"
